line,update,reason,map,en-update,en-reason,es-update,es-reason,hy-update,hy-reason,ko-update,ko-reason,ru-update,ru-reason,vi-update,vi-reason,zh-tw-update,zh-tw-reason,ja-update,ja-reason
120,Weekday schedules have been updated.,Improved reliability,,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability
128,Saturday and Sunday schedules have been updated.,Improved reliability,,Saturday and Sunday schedules have been updated.,Improved reliability,Saturday and Sunday schedules have been updated.,Improved reliability,Saturday and Sunday schedules have been updated.,Improved reliability,Saturday and Sunday schedules have been updated.,Improved reliability,Saturday and Sunday schedules have been updated.,Improved reliability,Saturday and Sunday schedules have been updated.,Improved reliability,Saturday and Sunday schedules have been updated.,Improved reliability,Saturday and Sunday schedules have been updated.,Improved reliability
134,Saturday and Sunday schedules have been updated.,Improved reliability,,Saturday and Sunday schedules have been updated.,Improved reliability,Saturday and Sunday schedules have been updated.,Improved reliability,Saturday and Sunday schedules have been updated.,Improved reliability,Saturday and Sunday schedules have been updated.,Improved reliability,Saturday and Sunday schedules have been updated.,Improved reliability,Saturday and Sunday schedules have been updated.,Improved reliability,Saturday and Sunday schedules have been updated.,Improved reliability,Saturday and Sunday schedules have been updated.,Improved reliability
150,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
152,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
155,Weekday schedules have been updated.,Improved reliability,,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability
161,Weekday schedules have been updated.,Improved reliability,,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability
162,Weekday schedules have been updated.,Improved reliability,,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability
164,"Minor weekday frequency changes, please check schedule.",Align with ridership levels,,"Minor weekday frequency changes, please check schedule.",Align with ridership levels,"Minor weekday frequency changes, please check schedule.",Align with ridership levels,"Minor weekday frequency changes, please check schedule.",Align with ridership levels,"Minor weekday frequency changes, please check schedule.",Align with ridership levels,"Minor weekday frequency changes, please check schedule.",Align with ridership levels,"Minor weekday frequency changes, please check schedule.",Align with ridership levels,"Minor weekday frequency changes, please check schedule.",Align with ridership levels,"Minor weekday frequency changes, please check schedule.",Align with ridership levels
166,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
167,Weekday schedules have been updated.,Improved reliability,,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability
169,Weekend service on Line 169 will extend beyond Saticoy St/Topanga Canyon Bl to Canoga Station.,Improve weekend service for the Valley Circle area.,,Weekend service on Line 169 will extend beyond Saticoy St/Topanga Canyon Bl to Canoga Station.,Improve weekend service for the Valley Circle area.,Weekend service on Line 169 will extend beyond Saticoy St/Topanga Canyon Bl to Canoga Station.,Improve weekend service for the Valley Circle area.,Weekend service on Line 169 will extend beyond Saticoy St/Topanga Canyon Bl to Canoga Station.,Improve weekend service for the Valley Circle area.,Weekend service on Line 169 will extend beyond Saticoy St/Topanga Canyon Bl to Canoga Station.,Improve weekend service for the Valley Circle area.,Weekend service on Line 169 will extend beyond Saticoy St/Topanga Canyon Bl to Canoga Station.,Improve weekend service for the Valley Circle area.,Weekend service on Line 169 will extend beyond Saticoy St/Topanga Canyon Bl to Canoga Station.,Improve weekend service for the Valley Circle area.,Weekend service on Line 169 will extend beyond Saticoy St/Topanga Canyon Bl to Canoga Station.,Improve weekend service for the Valley Circle area.,Weekend service on Line 169 will extend beyond Saticoy St/Topanga Canyon Bl to Canoga Station.,Improve weekend service for the Valley Circle area.
169,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
177,New terminus for Line 177 on Wilson Av northbound near Del Mar Bl.,Move away from residential buildings to location adjacent to Caltech Campus.,Line 177.jpg,New terminus for Line 177 on Wilson Av northbound near Del Mar Bl.,Move away from residential buildings to location adjacent to Caltech Campus.,New terminus for Line 177 on Wilson Av northbound near Del Mar Bl.,Move away from residential buildings to location adjacent to Caltech Campus.,New terminus for Line 177 on Wilson Av northbound near Del Mar Bl.,Move away from residential buildings to location adjacent to Caltech Campus.,New terminus for Line 177 on Wilson Av northbound near Del Mar Bl.,Move away from residential buildings to location adjacent to Caltech Campus.,New terminus for Line 177 on Wilson Av northbound near Del Mar Bl.,Move away from residential buildings to location adjacent to Caltech Campus.,New terminus for Line 177 on Wilson Av northbound near Del Mar Bl.,Move away from residential buildings to location adjacent to Caltech Campus.,New terminus for Line 177 on Wilson Av northbound near Del Mar Bl.,Move away from residential buildings to location adjacent to Caltech Campus.,New terminus for Line 177 on Wilson Av northbound near Del Mar Bl.,Move away from residential buildings to location adjacent to Caltech Campus.
177,Weekday schedules have been updated.,Improved reliability,,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability
179,Late evening trips on Line 179 via Huntington Dr extended to match daytime trips.,Improve late evening service,Line 179.jpg,Late evening trips on Line 179 via Huntington Dr extended to match daytime trips.,Improve late evening service,Late evening trips on Line 179 via Huntington Dr extended to match daytime trips.,Improve late evening service,Late evening trips on Line 179 via Huntington Dr extended to match daytime trips.,Improve late evening service,Late evening trips on Line 179 via Huntington Dr extended to match daytime trips.,Improve late evening service,Late evening trips on Line 179 via Huntington Dr extended to match daytime trips.,Improve late evening service,Late evening trips on Line 179 via Huntington Dr extended to match daytime trips.,Improve late evening service,Late evening trips on Line 179 via Huntington Dr extended to match daytime trips.,Improve late evening service,Late evening trips on Line 179 via Huntington Dr extended to match daytime trips.,Improve late evening service
179,"Minor weekday frequency changes, please check schedule.",Align with ridership levels,,"Minor weekday frequency changes, please check schedule.",Align with ridership levels,"Minor weekday frequency changes, please check schedule.",Align with ridership levels,"Minor weekday frequency changes, please check schedule.",Align with ridership levels,"Minor weekday frequency changes, please check schedule.",Align with ridership levels,"Minor weekday frequency changes, please check schedule.",Align with ridership levels,"Minor weekday frequency changes, please check schedule.",Align with ridership levels,"Minor weekday frequency changes, please check schedule.",Align with ridership levels,"Minor weekday frequency changes, please check schedule.",Align with ridership levels
180,Westbound stop at Broadway/Artsakh is being discontinued. Alternative stops are located at Broadway/Louise and Brand/Broadway.,Allow buses enough distance to turn left from westbound Broadway to southbound Brand.,Line 180.jpg,Westbound stop at Broadway/Artsakh is being discontinued. Alternative stops are located at Broadway/Louise and Brand/Broadway.,Allow buses enough distance to turn left from westbound Broadway to southbound Brand.,Westbound stop at Broadway/Artsakh is being discontinued. Alternative stops are located at Broadway/Louise and Brand/Broadway.,Allow buses enough distance to turn left from westbound Broadway to southbound Brand.,Westbound stop at Broadway/Artsakh is being discontinued. Alternative stops are located at Broadway/Louise and Brand/Broadway.,Allow buses enough distance to turn left from westbound Broadway to southbound Brand.,Westbound stop at Broadway/Artsakh is being discontinued. Alternative stops are located at Broadway/Louise and Brand/Broadway.,Allow buses enough distance to turn left from westbound Broadway to southbound Brand.,Westbound stop at Broadway/Artsakh is being discontinued. Alternative stops are located at Broadway/Louise and Brand/Broadway.,Allow buses enough distance to turn left from westbound Broadway to southbound Brand.,Westbound stop at Broadway/Artsakh is being discontinued. Alternative stops are located at Broadway/Louise and Brand/Broadway.,Allow buses enough distance to turn left from westbound Broadway to southbound Brand.,Westbound stop at Broadway/Artsakh is being discontinued. Alternative stops are located at Broadway/Louise and Brand/Broadway.,Allow buses enough distance to turn left from westbound Broadway to southbound Brand.,Westbound stop at Broadway/Artsakh is being discontinued. Alternative stops are located at Broadway/Louise and Brand/Broadway.,Allow buses enough distance to turn left from westbound Broadway to southbound Brand.
180,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
182,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
205,Last southbound trip on Line 205 extended to San Pedro weekdays and weekends.,Improve late night access for riders to San Pedro,,Last southbound trip on Line 205 extended to San Pedro weekdays and weekends.,Improve late night access for riders to San Pedro,Last southbound trip on Line 205 extended to San Pedro weekdays and weekends.,Improve late night access for riders to San Pedro,Last southbound trip on Line 205 extended to San Pedro weekdays and weekends.,Improve late night access for riders to San Pedro,Last southbound trip on Line 205 extended to San Pedro weekdays and weekends.,Improve late night access for riders to San Pedro,Last southbound trip on Line 205 extended to San Pedro weekdays and weekends.,Improve late night access for riders to San Pedro,Last southbound trip on Line 205 extended to San Pedro weekdays and weekends.,Improve late night access for riders to San Pedro,Last southbound trip on Line 205 extended to San Pedro weekdays and weekends.,Improve late night access for riders to San Pedro,Last southbound trip on Line 205 extended to San Pedro weekdays and weekends.,Improve late night access for riders to San Pedro
205,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
206,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
207,Weekday schedules have been updated.,Improved reliability,,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability
207,"Minor Saturday and Sunday frequency changes, please check schedule.",Align with ridership levels,,"Minor Saturday and Sunday frequency changes, please check schedule.",Align with ridership levels,"Minor Saturday and Sunday frequency changes, please check schedule.",Align with ridership levels,"Minor Saturday and Sunday frequency changes, please check schedule.",Align with ridership levels,"Minor Saturday and Sunday frequency changes, please check schedule.",Align with ridership levels,"Minor Saturday and Sunday frequency changes, please check schedule.",Align with ridership levels,"Minor Saturday and Sunday frequency changes, please check schedule.",Align with ridership levels,"Minor Saturday and Sunday frequency changes, please check schedule.",Align with ridership levels,"Minor Saturday and Sunday frequency changes, please check schedule.",Align with ridership levels
210,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
211,Weekday schedules have been updated.,Improved reliability,,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability
212,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
215,Weekday schedules have been updated.,Improved reliability,,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability
217,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
232,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
233,"Minor weekday frequency changes, please check schedule.",Align with ridership levels,,"Minor weekday frequency changes, please check schedule.",Align with ridership levels,"Minor weekday frequency changes, please check schedule.",Align with ridership levels,"Minor weekday frequency changes, please check schedule.",Align with ridership levels,"Minor weekday frequency changes, please check schedule.",Align with ridership levels,"Minor weekday frequency changes, please check schedule.",Align with ridership levels,"Minor weekday frequency changes, please check schedule.",Align with ridership levels,"Minor weekday frequency changes, please check schedule.",Align with ridership levels,"Minor weekday frequency changes, please check schedule.",Align with ridership levels
234,"Minor weekday, Saturday, and Sunday frequency changes, please check schedule.",Align with ridership levels,,"Minor weekday, Saturday, and Sunday frequency changes, please check schedule.",Align with ridership levels,"Minor weekday, Saturday, and Sunday frequency changes, please check schedule.",Align with ridership levels,"Minor weekday, Saturday, and Sunday frequency changes, please check schedule.",Align with ridership levels,"Minor weekday, Saturday, and Sunday frequency changes, please check schedule.",Align with ridership levels,"Minor weekday, Saturday, and Sunday frequency changes, please check schedule.",Align with ridership levels,"Minor weekday, Saturday, and Sunday frequency changes, please check schedule.",Align with ridership levels,"Minor weekday, Saturday, and Sunday frequency changes, please check schedule.",Align with ridership levels,"Minor weekday, Saturday, and Sunday frequency changes, please check schedule.",Align with ridership levels
235,Weekday schedules have been updated.,Improved reliability,,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability
236,Weekday and Saturday schedules have been updated.,Improved reliability,,Weekday and Saturday schedules have been updated.,Improved reliability,Weekday and Saturday schedules have been updated.,Improved reliability,Weekday and Saturday schedules have been updated.,Improved reliability,Weekday and Saturday schedules have been updated.,Improved reliability,Weekday and Saturday schedules have been updated.,Improved reliability,Weekday and Saturday schedules have been updated.,Improved reliability,Weekday and Saturday schedules have been updated.,Improved reliability,Weekday and Saturday schedules have been updated.,Improved reliability
240,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
242,Weekday schedules have been updated.,Improved reliability,,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability
243,Weekday schedules have been updated.,Improved reliability,,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability
244,Weekday schedules have been updated.,Improved reliability,,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability,Weekday schedules have been updated.,Improved reliability
246,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
251,More frequent Line 251 weekday service to Eagle Rock. Adjusted other segment frequencies.,Respond to rider requests for more service to Eagle Rock. Align service to ridership levels and NextGen Bus Plan.,,More frequent Line 251 weekday service to Eagle Rock. Adjusted other segment frequencies.,Respond to rider requests for more service to Eagle Rock. Align service to ridership levels and NextGen Bus Plan.,More frequent Line 251 weekday service to Eagle Rock. Adjusted other segment frequencies.,Respond to rider requests for more service to Eagle Rock. Align service to ridership levels and NextGen Bus Plan.,More frequent Line 251 weekday service to Eagle Rock. Adjusted other segment frequencies.,Respond to rider requests for more service to Eagle Rock. Align service to ridership levels and NextGen Bus Plan.,More frequent Line 251 weekday service to Eagle Rock. Adjusted other segment frequencies.,Respond to rider requests for more service to Eagle Rock. Align service to ridership levels and NextGen Bus Plan.,More frequent Line 251 weekday service to Eagle Rock. Adjusted other segment frequencies.,Respond to rider requests for more service to Eagle Rock. Align service to ridership levels and NextGen Bus Plan.,More frequent Line 251 weekday service to Eagle Rock. Adjusted other segment frequencies.,Respond to rider requests for more service to Eagle Rock. Align service to ridership levels and NextGen Bus Plan.,More frequent Line 251 weekday service to Eagle Rock. Adjusted other segment frequencies.,Respond to rider requests for more service to Eagle Rock. Align service to ridership levels and NextGen Bus Plan.,More frequent Line 251 weekday service to Eagle Rock. Adjusted other segment frequencies.,Respond to rider requests for more service to Eagle Rock. Align service to ridership levels and NextGen Bus Plan.
251,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability,"Weekday, Saturday, and Sunday schedules have been updated.",Improved reliability
